12:28:27.856817 IP amd256.utah.cloudlab.us.40988 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1643567593:1643567652, ack 63482890, win 502, options [nop,nop,TS val 3589080242 ecr 2617409926], length 59

12:28:27.856883 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40966: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410167 ecr 3589080242], length 123

12:28:27.856895 IP amd256.utah.cloudlab.us.40966 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080242 ecr 2617410167], length 0

12:28:27.856918 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40972: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410167 ecr 3589080242], length 123

12:28:27.856930 IP amd256.utah.cloudlab.us.40972 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080242 ecr 2617410167], length 0

12:28:27.856951 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40988: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410167 ecr 3589080242], length 123

12:28:27.856964 IP amd256.utah.cloudlab.us.40988 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080242 ecr 2617410167], length 0

12:28:27.857027 IP amd256.utah.cloudlab.us.40992 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 527417527:527417586, ack 2186169310, win 502, options [nop,nop,TS val 3589080242 ecr 2617409926], length 59

12:28:27.857163 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40992: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410167 ecr 3589080242], length 123

12:28:27.857178 IP amd256.utah.cloudlab.us.40992 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080243 ecr 2617410167], length 0

12:28:27.857294 IP amd256.utah.cloudlab.us.41004 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1935056297:1935056356, ack 1605686163, win 502, options [nop,nop,TS val 3589080243 ecr 2617409927], length 59

12:28:27.857431 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.41004: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410167 ecr 3589080243], length 123

12:28:27.857459 IP amd256.utah.cloudlab.us.41004 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080243 ecr 2617410167], length 0

12:28:27.857474 IP amd256.utah.cloudlab.us.40994 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 771737952:771738011, ack 2797834216, win 502, options [nop,nop,TS val 3589080243 ecr 2617409927], length 59

12:28:27.857590 IP amd256.utah.cloudlab.us.41006 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3130653862:3130653921, ack 895889627, win 502, options [nop,nop,TS val 3589080243 ecr 2617409927], length 59

12:28:27.857615 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40994: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410168 ecr 3589080243], length 123

